390	1.090201	62.419500	52.425400	62.135500	49.930100	57.536700	17.824000	69.815100	100.000000	82.224900	74.300600	-17.775100	80.174500	155.910000	3.255000	1.000000	
781	0.980502	63.928700	54.377400	63.684000	51.252700	58.697300	17.803700	72.335800	100.000000	83.947500	76.572500	-16.052500	80.212900	155.835000	3.254000	2.000000	
1172	0.929749	64.710500	55.418700	64.497500	51.918500	59.272200	17.789700	73.666500	100.000000	84.836800	77.762000	-15.163200	80.093700	156.067000	3.259000	3.000000	
1562	0.896961	65.198700	55.972700	64.986000	52.379800	59.605100	17.765100	74.064300	100.000000	85.100000	78.116300	-14.900000	80.167100	155.924000	3.256000	4.000000	
1953	0.870146	65.627000	56.559400	65.416000	52.727600	59.894000	17.745700	74.597700	100.000000	85.451000	78.590500	-14.549000	80.146700	155.964000	3.257000	5.000000	
2344	0.850380	65.868600	56.812100	65.660900	53.001300	60.083700	17.735800	75.038700	100.000000	85.739500	78.981600	-14.260500	80.137100	155.983000	3.257000	6.000000	
2734	0.835865	66.138500	57.203400	65.934400	53.262300	60.315800	17.733000	75.877300	100.000000	86.284400	79.723600	-13.715600	80.138700	155.980000	3.257000	7.000000	
3125	0.822257	66.320500	57.457100	66.127000	53.420500	60.453400	17.727300	76.547900	100.000000	86.716300	80.315000	-13.283700	80.278800	155.707000	3.251000	8.000000	
3516	0.813389	66.519200	57.601800	66.316600	53.664600	60.608700	17.708900	76.285600	100.000000	86.547700	80.083900	-13.452300	80.305400	155.656000	3.250000	9.000000	
3906	0.805205	66.622600	57.804300	66.427400	53.764300	60.714500	17.714200	77.036500	100.000000	87.028900	80.744900	-12.971100	80.397800	155.477000	3.246000	10.000000	
4297	0.798258	66.746300	57.955100	66.552100	53.891800	60.808800	17.707100	77.184200	100.000000	87.123100	80.874600	-12.876900	80.337600	155.593000	3.249000	11.000000	
4688	0.794384	66.817100	58.071500	66.631100	53.915300	60.848000	17.706900	77.605600	100.000000	87.391000	81.244500	-12.609000	80.209700	155.841000	3.254000	12.000000	
5078	0.790909	66.901400	58.162900	66.714100	54.010600	60.912700	17.697100	77.619700	100.000000	87.399900	81.256800	-12.600100	80.173900	155.911000	3.255000	13.000000	
5469	0.788542	66.932500	58.221600	66.745900	54.031700	60.930500	17.696900	77.674500	100.000000	87.434600	81.304800	-12.565400	80.264400	155.735000	3.252000	14.000000	
5850	0.787888	66.940600	58.242400	66.753400	54.039900	60.935300	17.697000	77.695400	100.000000	87.447800	81.323100	-12.552200	80.308400	155.650000	3.250000	14.970000	
1953	0.851539	65.916500	56.773600	65.702600	53.456500	60.449600	17.733500	75.395900	100.000000	85.972200	79.298000	-14.027800	401.330000	155.732000	3.247000	1.000000	
3906	0.763033	67.529300	58.915700	67.349100	54.943600	61.667000	17.680000	78.662700	100.000000	88.057200	82.169200	-11.942800	401.440400	155.689000	3.246000	2.000000	
5859	0.712295	68.416900	60.140900	68.254700	55.752600	62.351800	17.651300	80.940100	100.000000	89.466200	84.147800	-10.533800	400.671500	155.988000	3.252000	3.000000	
7812	0.678230	69.075000	61.075600	68.921100	56.310300	62.868300	17.638700	82.252100	100.000000	90.261900	85.279100	-9.738100	401.848400	155.531000	3.243000	4.000000	
9765	0.652894	69.544400	61.728600	69.400300	56.739000	63.232600	17.622200	83.040100	100.000000	90.734300	85.955700	-9.265700	401.860000	155.527000	3.242000	5.000000	
11719	0.635599	69.967900	62.358000	69.836500	57.113200	63.587500	17.615000	83.751400	100.000000	91.157300	86.564500	-8.842700	400.781200	155.945000	3.251000	6.000000	
13672	0.619172	70.306400	62.796500	70.179700	57.472200	63.881700	17.601800	84.132300	100.000000	91.382500	86.889800	-8.617500	401.189900	155.787000	3.248000	7.000000	
15625	0.606189	70.579200	63.170000	70.457600	57.738400	64.118900	17.591000	84.467500	100.000000	91.579800	87.175600	-8.420200	401.645100	155.610000	3.244000	8.000000	
17578	0.597126	70.766100	63.442200	70.649300	57.887100	64.260500	17.582300	84.778600	100.000000	91.762300	87.440500	-8.237700	401.288900	155.748000	3.247000	9.000000	
19531	0.588340	70.940000	63.697800	70.826500	58.037700	64.403000	17.584600	85.028000	100.000000	91.908300	87.652700	-8.091700	401.373900	155.715000	3.246000	10.000000	
21484	0.582428	71.092700	63.907600	70.978400	58.212100	64.551500	17.578500	85.165500	100.000000	91.988500	87.769500	-8.011500	401.147200	155.803000	3.248000	11.000000	
23438	0.577677	71.205700	64.069300	71.091700	58.313700	64.652700	17.579900	85.326100	100.000000	92.082100	87.906000	-7.917900	401.302000	155.743000	3.247000	12.000000	
25391	0.574593	71.262900	64.155800	71.151300	58.365100	64.702700	17.576800	85.408500	100.000000	92.130100	87.975900	-7.869900	402.050000	155.453000	3.241000	13.000000	
27344	0.572305	71.327000	64.238800	71.215400	58.434600	64.759400	17.575100	85.438200	100.000000	92.147300	88.001100	-7.852700	401.527400	155.656000	3.245000	14.000000	
29295	0.571660	71.333500	64.246800	71.222900	58.437800	64.763100	17.574300	85.459300	100.000000	92.159600	88.019000	-7.840400	401.561800	155.642000	3.245000	15.000000	
19531	0.582186	70.624400	63.505900	70.500900	57.423900	64.056300	17.544800	85.827400	100.000000	92.373200	88.331100	-7.626800	4062.651700	153.840000	3.205000	1.000000	
39062	0.482449	73.003800	66.908500	72.919500	59.616300	66.101100	17.487600	88.464800	100.000000	93.879400	90.553900	-6.120600	4067.574600	153.654000	3.201000	2.000000	
